Spulenstrom (A) B (mT)  B (mT) 0
0.001           0.3     0
0.5             63.5    63.2 
1               138.2   137.9
1.5             217     216.7
2               293     292.7
2.5             360.5   360.2
3               429.1   428.8
3.5             492.6   492.3
4               552.1   551.8
4.5             597.7   597.4
5               647.4   647.1

umgepolt
vorzeichen      -       -
0.001           32      0
0.5             95      63
1               169     137
1.5             244     212
2               315     283
2.5             385     353
3               450     418
3.5             517     485
4               572     540
4.5             628     596
5               676     644

5A Probenstrom
Stromstärke (Spule)     Hall-Spannung 
0.5                     0.0042
1                       0.0051
1.5                     0.0065
2                       0.007
2.5                     0.0076
3                       0.0081
3.5                     0.0091
4                       0.0098
4.5                     0.0104
5                       0.0112

umgepolt

0.5                     -0.0023
1                       -0.0009
1.5                     -0.0003
2                       0.0012
2.5                     0.002
3                       0.0031
3.5                     0.004
4                       0.0047
4.5                     0.0056
5                       0.0061  

5A Spulenstrom 

0.5                     0.0009
1                       0.001
1.5                     0.0012
2                       0.0013
2.5                     0.0014
3                       0.0014
3.5                     0.0016
4                       0.0017
4.5                     0.0018
5                       0.0019

