0	  	294.85    
60 	  	294.85	
120	 	294.75	
180 	  	294.65	
240 	  	293.95	
300 	  	293.25	
360 	  	292.35	
420 	  	291.65	
480 	  	290.85	
540 	  	290.05	
600	 	289.35	
660	  	288.65	
720	 	288.05	
780	  	287.35	
840	 	286.75	
900	  	286.15	
960	 	285.55	
1020	  	284.85	
1080	  	284.45	
1140	  	284.05	
1200	  	283.55	
1260	 	283.05	
1320	 	282.65	
1380	 	282.25	
1440	 	281.85	
1500	 	281.45	    
1560		281.15	    
1620	 	280.85	    
1680	 	280.55	    
1740	 	280.25	    
1800	 	279.95	    
1860	 	278.75	   
1920	 	277.45	   
1980	 	276.55	    
2040		276.15	   
2100	 	276.05	    
